Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
399,Shakti Sky Avenue ,Sector 34 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180.0,8135,7,2,2,96.0
400,Delta Tower ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1285.0,8560,3,2,2,110.0
401,LK Prince Tower ,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1100.0,7636,9,2,2,84.0
402,Suyog Jeevan Anand ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,360.0,21388,1,1,1,77.0
403,Sai Chhaya Sadan CHS ,Ambika Nagar Mumbai Beyond Thane Mumbai,Ambika Nagar Mumbai,10+ Year,Ready To Move,Built Up Area,515.0,8155,2,1,1,42.0
404,Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150.0,14347,7,2,2,165.0
405,Unnamed Property,401 Naupada Thane Mumbai,Naupada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,730.0,19000,4,1,1,95.0
406,Unnamed Property,Worli Hill Road Opp Jari Mari Mata Mandir Worli Hill South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Super Built Up Area,675.0,40740,3,2,2,275.0
407,Shree Ostwal Point ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,185.0,18108,3,1,1,33.5
408,Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,580.0,24655,1,2,1,118.0
409,Unnamed Property,Xxx Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1300.0,10000,2,2,2,130.0
410,Unnamed Property,Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,775.0,38580,4,2,2,299.0
411,Sheffield Towers ,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050.0,29523,6,2,2,310.0
412,Unnamed Property,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900.0,10777,1,2,2,97.0
413,Ashok Nagar ,Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Built Up Area,890.0,10224,1,1,2,101.0
414,Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,1500.0,16666,3,3,3,250.0
415,DSK Madhuban ,A2 107 Sakinaka Mumbai,Sakinaka Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1203.0,14962,1,2,2,160.0
416,Unnamed Property,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Built Up Area,800.0,30625,4,2,2,245.0
417,Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Carpet Area,460.0,32608,8,1,2,150.0
418,Unnamed Property,Sion Koliwada Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,350.0,19911,21,1,1,69.7
419,Unnamed Property,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Super Built Up Area,785.0,18471,2,2,2,145.0
420,Shree Niketan ,Shankar Pada Mumbai,Shankar Pada,5 to 10 Year,Ready To Move,Carpet Area,644.0,22049,6,2,2,142.0
421,Unnamed Property,Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,692.0,19508,4,3,2,135.0
422,Unnamed Property,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1300.0,5538,1,3,3,72.0
423,Unnamed Property,111 Sector 10 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1110.0,7207,12,2,2,80.0
424,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,670.0,6417,1,1,1,43.0
425,Balaji Symphony ,G Wing New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055.0,9668,17,2,2,102.0
426,Unnamed Property,Plot No 87 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,675.0,9259,3,1,1,62.5
427,Trishul Terraces ,1802 Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000.0,35000,18,3,3,350.0
428,Lalani Grandeur ,1801 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Carpet Area,410.0,30243,18,1,2,124.0
429,Unnamed Property,GuruTeg Bahadur Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,600.0,20833,6,2,2,125.0
430,Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,750.0,7066,1,1,2,53.0
431,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000.0,6800,3,2,2,68.0
432,Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350.0,10370,8,2,2,140.0
433,Bhagwati Greens ,1501 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2150.0,16279,15,3,3,350.0
434,Unnamed Property,Kashigaon Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,580.0,12857,5,1,2,54.0
435,Hiranandani Eagleridge ,6001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,950.0,22631,6,3,3,215.0
436,Sudama Regency ,Khardipada Thane Mumbai,Khardipada Thane,1 to 5 Year,Ready To Move,Carpet Area,420.0,7380,5,1,1,31.0
437,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050.0,7619,28,2,2,80.0
438,Unnamed Property,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1070.0,10280,7,2,2,110.0
439,Westin Eksar Gurukripa CHSL ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611.0,32733,12,2,2,200.0
440,Anurag Residency ,111 Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950.0,7368,5,2,2,70.0
441,Prabhu Anant ,Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409.0,9902,4,1,1,40.5
442,Pragati Satkar Tower ,302 Katemanivali Mumbai Beyond Thane Mumbai,Katemanivali Mumbai,5 to 10 Year,Ready To Move,Built Up Area,710.0,5704,3,1,2,40.5
443,Kohinoor City Mumbai ,Phase 1 kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1341.0,23117,1,3,3,310.0
444,Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,879.0,6598,1,2,2,58.0
445,Unnamed Property,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100.0,5409,7,2,2,59.5
446,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675.0,9777,11,1,1,66.0
447,Unnamed Property,Ground Floor Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,450.0,17333,0,1,1,78.0
448,Unnamed Property,Rabale Navi Mumbai Mumbai,Rabale Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,480.0,25000,3,2,2,120.0
449,5P Bhagwati Heritage ,Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1225.0,9469,3,2,2,116.0
450,Jai Gurudeo Complex ,Sector 17 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150.0,9217,5,2,2,106.0
451,Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1110.0,22072,6,2,3,245.0
452,Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,778.0,41645,3,2,2,324.0
453,Om Shanti ,302 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,635.0,8818,3,1,1,56.0
454,Unnamed Property,Poonam Garden mira Road Unique Aurum Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,1090.0,10642,19,2,2,112.0
455,Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055.0,8530,21,2,2,90.0
456,Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Carpet Area,852.77,8794,23,3,2,75.0
457,Varsha Balaji Darshan ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,8750,3,2,2,105.0
458,Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,950.0,17368,10,3,3,165.0
459,Hiranandani Fortune City ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400.0,13500,17,1,1,54.0
460,Vaishnavi Highlife ,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,700.0,10857,22,2,2,76.0
461,Unnamed Property,M G Complex Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1450.0,21449,11,3,3,311.0
462,Ashar Edge ,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,727.0,22696,27,2,2,165.0
463,Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,798.0,7957,8,3,2,63.5
464,Unnamed Property,Near Kaka Dhaba Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,500.0,4000,3,1,1,22.0
465,Aaron Moreshwar complex ,Plot Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690.0,7681,6,1,1,53.0
466,Space India Alliance ,Walking From Station Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680.0,8823,13,1,2,60.0
467,Space India Alliance ,New Project Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050.0,8380,13,2,2,88.0
468,Sun Bhoomi Heights ,Near Kk Cinema Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1650.0,7575,5,3,3,125.0
469,Unnamed Property,Shahpur Mumbai Beyond Thane Mumbai,Shahapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,2727,2,2,2,30.0
470,Nidhi Pramila Avenue ,Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650.0,5930,7,1,1,25.5
471,Mahavir Kalpavruksha ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430.0,13720,15,1,2,59.0
472,Unique Poonam Estate Cluster 2 ,180 Mira Road Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1040.0,11057,18,2,2,115.0
473,Lok Sarita ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,520.0,20769,5,1,1,108.0
474,Aryan One ,A Wing Flat No 308 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,758.0,4485,3,1,1,34.0
475,Snow Drop ,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,420.0,27380,4,1,2,115.0
476,Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,670.0,6716,15,1,2,45.0
477,Unnamed Property,D 002 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Built Up Area,578.0,3979,0,1,2,23.0
478,Vijay Galaxy ,1306 Vijay Nagari Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,650.0,17692,13,2,2,115.0
479,Lodha New Cuffe Parade ,3601 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395.0,20071,36,2,2,280.0
480,Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1450.0,12275,9,3,3,175.0
481,Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700.0,7857,3,1,2,55.0
482,Raunak Delight ,Owale Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575.0,8347,8,1,1,48.0
483,Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,660.0,7121,13,1,2,47.0
484,Puraniks Hometown ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,438.0,13470,10,1,2,59.0
485,Reliable Balaji Shrishti ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1090.0,7889,6,2,2,86.0
486,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,405.0,7654,1,1,1,31.0
487,Budget Homes The Nest ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,270.0,22222,11,1,1,60.0
488,The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935.0,6844,4,2,2,64.0
489,Unnamed Property,Lokpuram Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,565.0,11681,3,1,1,66.0
490,Satyam Heritage ,201 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100.0,15454,2,2,2,170.0
491,Sai Vihar CHS ,1003 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1164.0,9450,10,2,2,110.0
492,Rupa Suyash Park ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200.0,7500,6,2,2,90.0
493,Silverlite 56 West ,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,684.0,40204,1,2,3,275.0
494,Unnamed Property,Pokhran 2 Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,798.0,25689,26,2,2,205.0
495,Balaji Delta Tower 2 ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1345.0,9442,6,2,2,127.0
496,Unnamed Property,Flat No A 1702 A Wing S V P Nagar Plot No 24 Mhada Versova Mumbai,Versova Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010.0,21287,17,3,3,215.0
497,M K Fatima Heights ,Bhendi Bazaar South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460.0,28260,11,1,2,130.0
498,Unnamed Property,Mulund East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,480.0,22916,16,1,1,110.0
499,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,540.0,12800,3,1,2,80.0
500,Lodha Palava City ,0000 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,764.0,8507,1,2,2,65.0
501,Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,900.0,31111,15,2,2,280.0
502,Unnamed Property,Gopinath Chowk Mahatma Phule Road Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1035.0,8212,6,2,2,85.0
503,Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,569.0,13181,10,1,2,75.0
504,BM Bunch Berry ,105 Sai Nagar Mumbai,Sai Nagar,10+ Year,Ready To Move,Built Up Area,350.0,23571,1,1,1,82.5
505,Vijaya Heritage ,Central Avenue Road Near Diamond Garden Chembur Chembur Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1800.0,22166,10,3,3,399.0
506,Sukhsagar Residency ,B1 303 Anu Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,400.0,10000,3,1,1,45.0
507,Unnamed Property,Sector 1 Koparkhairane Sector 1 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,5 to 10 Year,Ready To Move,Plot Area,200.0,34500,3,3,3,69.0
508,Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Super Built Up Area,806.0,10669,2,2,2,86.0
509,Ravechi Height ,111 Sector 22 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690.0,9202,11,1,2,63.5
510,Paradigm Ananda Residency ,Shivaji Nagar Mumbai,Shivaji Nagar,1 to 5 Year,Ready To Move,Carpet Area,665.0,27067,13,2,2,180.0
511,Unnamed Property,Near Kandarpada Talav Dahisar West Kandarpada Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,300.0,21666,2,1,1,65.0
512,Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1200.0,13000,12,2,2,104.0
513,Gundecha Asta ,Sakinaka Mumbai,Sakinaka Mumbai,1 to 5 Year,Ready To Move,Carpet Area,900.0,22222,7,3,2,200.0
514,Unnamed Property,Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,390.0,9743,11,1,2,38.0
515,Aastha Palace ,Sector 16 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,725.0,11836,15,1,2,58.0
516,Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675.0,9555,6,1,1,64.5
517,Poonam Pallazo ,Nalasopara West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,315.0,9523,1,1,1,30.0
518,Unnamed Property,Teen Hath Naka Thane Mumbai,Teen-Hath-Naka Thane,5 to 10 Year,Ready To Move,Super Built Up Area,700.0,15230,3,2,2,99.0
519,Rekhi Sai Daffodils ,0000 Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1080.0,7222,5,2,2,78.0
520,Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,602.0,11627,2,2,2,70.0
521,Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1300.0,16153,3,3,2,210.0
522,Hiranandani Jasper ,9001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,5 to 10 Year,Ready To Move,Carpet Area,750.0,19333,9,2,2,145.0
523,Divya Heights ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1060.0,5188,7,2,2,55.0
524,Urja Green Valley Feather ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,700.0,5714,9,1,1,40.0
525,Saj Shrushti ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,620.0,4032,3,1,1,25.0
526,Unnamed Property,Sector 11 Sanpada Navi Mumbai Mumbai,Sanpada Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,750.0,28800,14,2,2,216.0
527,Unnamed Property,Malad West Mumbai,Malad Mumbai,5 to 10 Year,Ready To Move,Carpet Area,711.0,15471,1,2,2,110.0
528,Unnamed Property,Near Sbi Bank Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,710.0,8239,9,1,1,58.5
529,Pushp Kalash Apartment ,Near Neelkanth Sweets Kamothe Sector 16 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1015.0,7192,11,2,2,73.0
530,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1265.0,22134,22,3,3,280.0
531,Aurum Q Residences ,Near Thane Belapur Highway Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,645.0,27131,21,2,2,175.0
532,Unnamed Property,Sector 5 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,515.0,11262,4,1,1,58.0
533,Shah Royale ,Sector 2 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1040.0,13076,4,2,2,136.0
534,Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,Taloja Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,680.0,4852,4,1,1,33.0
535,Ajmera New Era ,Opp Kdmc Bus Depot Murbad Road Kalyan West Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Super Built Up Area,711.0,6615,6,1,2,48.0
536,Piramal Vaikunth ,3 Bhk New Flat Available Balkum Thane Mumbai,Balkum Thane,0 to 1 Year,Ready To Move,Built Up Area,1670.0,17964,7,3,3,300.0
537,Hiranandani Atlantis ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,762.0,48556,16,2,2,370.0
538,Paradise Sai Solitaire ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2015.0,8684,10,3,3,175.0
539,Rustomjee Azziano ,Majiwada Thane Mumbai,Majiwada Thane,1 to 5 Year,Ready To Move,Built Up Area,1048.0,15267,33,2,2,160.0
540,Runwal Forests ,Near Mangtram Petrol Pump Kanjur marg west Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1135.0,25991,13,3,2,295.0
541,Earth Aditya Heights ,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1050.0,10476,13,2,2,110.0
542,Unnamed Property,501 Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,300.0,18333,5,1,1,55.0
543,Balaji Heights ,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1200.0,10583,18,2,2,127.0
544,Siddharth Geetanjali Sujay ,Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615.0,10526,9,3,3,170.0
545,Windfield Keshav Winds ,Owe Village Navi Mumbai Mumbai,Village Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100.0,9046,16,2,2,99.5
546,Godrej The Trees ,Pirojshanagar Vikhroli East Vikhroli East Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,640.0,26250,2,1,1,168.0
547,Dosti Imperia ,3 Bhk Hill Facing Flat Available Manpada Thane Mumbai,Manpada Thane,1 to 5 Year,Ready To Move,Built Up Area,1835.0,14604,22,3,3,268.0
548,Shital Tapovan Heights ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,670.0,8955,9,1,2,60.0
549,Navkaar Rabiya Residency ,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,525.0,4952,4,1,1,26.0
550,Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,580.0,6379,1,1,1,37.0
551,Unnamed Property,Sector 30 Belapur Navi Mumbai Mumbai,Belapur Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,750.0,22666,13,2,2,170.0
552,Cosmos Empress Park ,1104 Anand Nagar Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1050.0,10000,11,2,2,105.0
553,Unnamed Property,101 Manpada Thane Mumbai,Manpada Thane,5 to 10 Year,Ready To Move,Plot Area,2700.0,27777,2,4,4,750.0
554,Hiranandani Regent Hill ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,384.0,36197,8,1,2,139.0
555,The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,665.0,6766,0,1,1,45.0
556,Marathon Nexzone ,000 New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1215.0,7160,28,2,2,87.0
