Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability
Kesar Gardens ,"4th, Sector 20 Kharghar, Navi Mumbai, Mumbai",77 Lac,"12,622",Super Built up area 610(56.67 sq.m.)Carpet area: 400 sq.ft. (37.16 sq.m.),1.0,2.0,4th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",45 Lac,"9,574",Carpet area: 470 (43.66 sq.m.),1.0,1.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",50 Lac,"10,638",Carpet area: 470 (43.66 sq.m.),1.0,1.0,3rd  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",37 Lac,"8,604",Carpet area: 430 (39.95 sq.m.),1.0,1.0,3rd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",50 Lac,"10,000",Carpet area: 500 (46.45 sq.m.),1.0,1.0,2nd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Dombivli East, Mumbai Beyond Thane, Mumbai",50 Lac,"9,615",Carpet area: 520 (48.31 sq.m.),2.0,2.0,4th  ,5 to 10 Year Old, Ready to move
Galaxy Orion ,"16th, Kharghar, Navi Mumbai, Mumbai",95 Lac,"8,820",Super Built up area 1077(100.06 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,16th  ,1 to 5 Year Old, Ready to move
GHP Woodland Heights ," Sangharsh Nagar, Central Mumbai suburbs, Mumbai",1.15 Crore,"21,698",Built Up area: 530 (49.24 sq.m.),1.0,2.0,3rd  ,10+ Year Old, Ready to move
Dosti Vihar ," Samata Nagar, Thane, Mumbai",81.25 Lac,"19,345",Carpet area: 420 (39.02 sq.m.),1.0,2.0,7th  ,1 to 5 Year Old, Ready to move
Dosti Vihar ," Samata Nagar, Thane, Mumbai",1.5 Crore,"16,722",Carpet area: 900 (83.61 sq.m.),3.0,2.0,2nd  ,1 to 5 Year Old, Ready to move
Monte South ,"Monte South, Byculla, Mumbai Harbour, Mumbai",5.4 Crore,"46,956",Carpet area: 1150 (106.84 sq.m.),3.0,3.0,17th  ,0 to 1 Year Old, Ready to move
Monte South ,"Byculla, Byculla, Mumbai Harbour, Mumbai",4.24 Crore,"45,058",Carpet area: 941 (87.42 sq.m.),2.0,2.0,29th  ,0 to 1 Year Old, Ready to move
Piramal Aranya ,"Byculla East, Byculla East, Mumbai Harbour, Mumbai",6.8 Crore,"47,887",Carpet area: 1420 (131.92 sq.m.),3.0,3.0,25th  ,0 to 1 Year Old, Ready to move
Lodha The Park ,"Worli, Worli, South Mumbai, Mumbai",6.9 Crore,"63,186",Carpet area: 1092 (101.45 sq.m.),3.0,3.0,40th  ,0 to 1 Year Old, Ready to move
Lodha The Park ,"Worli, Worli, South Mumbai, Mumbai",5.45 Crore,"61,030",Carpet area: 893 (82.96 sq.m.),2.0,2.0,37th  ,0 to 1 Year Old, Ready to move
Piramal Aranya ,"Byculla East, Byculla East, Mumbai Harbour, Mumbai",7.45 Crore,"47,603",Carpet area: 1565 (145.39 sq.m.),3.0,3.0,21st  ,0 to 1 Year Old, Ready to move
Piramal Aranya ,"Byculla East, Byculla East, Mumbai Harbour, Mumbai",13.75 Crore,"49,107",Carpet area: 2800 (260.13 sq.m.),4.0,4.0,21st  ,0 to 1 Year Old, Ready to move
Piramal Aranya ,"Byculla East, Byculla East, Mumbai Harbour, Mumbai",5.5 Crore,"50,925",Carpet area: 1080 (100.34 sq.m.),2.0,2.0,18th  ,0 to 1 Year Old, Ready to move
Piramal Aranya ,"Byculla East, Byculla East, Mumbai Harbour, Mumbai",10.75 Crore,"51,682",Carpet area: 2080 (193.24 sq.m.),4.0,4.0,19th  ,0 to 1 Year Old, Ready to move
Rohan Lifescapes Prithvii ,"Ghatkopar West, Ghatkopar West, Central Mumbai suburbs, Mumbai",3.5 Crore,"26,656",Carpet area: 1313 (121.98 sq.m.),3.0,4.0,2nd  ,0 to 1 Year Old, Ready to move
Lodha New Cuffe Parade ,"Lodha New Cuffe Parade,wadala, Wadala, Mumbai Harbour, Mumbai",3.9 Crore,"36,245",Carpet area: 1076 (99.96 sq.m.),3.0,2.0,42  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099,"101, Sector 29 Vashi, Navi Mumbai, Mumbai",3 Crore,"30,000",Carpet area: 1000 (92.9 sq.m.),3.0,2.0,1st  ,5 to 10 Year Old, Ready to move
L and T Crescent Bay ,"Parel, Parel, South Mumbai, Mumbai",3.5 Crore,"39,682",Carpet area: 882 (81.94 sq.m.),2.0,2.0,25th  ,0 to 1 Year Old, Ready to move
L and T Crescent Bay ,"Parel, Parel, South Mumbai, Mumbai",12 Crore,"50,000",Carpet area: 2400 (222.97 sq.m.),4.0,4.0,48  ,0 to 1 Year Old, Ready to move
Fortune Springs ,"1002, Kharghar, Navi Mumbai, Mumbai",65 Lac,"9,848",Carpet area: 660 (61.32 sq.m.),1.0,2.0,11st  ,1 to 5 Year Old, Ready to move
Lodha Codename Bullseye ,"Gcc Club, Mira Road East, Mira Road And Beyond, Mumbai",1.12 Crore,"11,428",Super Built up area 980(91.04 sq.m.)Built Up area: 850 sq.ft. (78.97 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,17th  ,0 to 1 Year Old, Ready to move
Lodha Codename Bullseye ,"Gcc Club, Mira Road East, Mira Road And Beyond, Mumbai",63 Lac,"8,289",Super Built up area 760(70.61 sq.m.)Built Up area: 650 sq.ft. (60.39 sq.m.)Carpet area: 487 sq.ft. (45.24 sq.m.),1.0,2.0,15th  ,0 to 1 Year Old, Ready to move
JP North ,"Vinay Nagar, Mira Road East, Mira Road And Beyond, Mumbai",58 Lac,"14,720",Super Built up area 585(54.35 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 394 sq.ft. (36.6 sq.m.),1.0,1.0,17th  ,1 to 5 Year Old, Ready to move
Satyam Imperial Heights ," Ghansoli, Navi Mumbai, Mumbai",5.59 Crore,"24,304",Carpet area: 2300 (213.68 sq.m.),4.0,4.0,34th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 10 Kamothe, Navi Mumbai, Mumbai",90 Lac,"7,758",Built Up area: 1160 (107.77 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,12nd  ,10+ Year Old, Ready to move Property
Gujrat Indralok Heights ," Bhayander East, Mira Road And Beyond, Mumbai",62 Lac,"10,081",Super Built up area 615(57.14 sq.m.),1.0,1.0,3rd  ,1 to 5 Year Old, Ready to move
Giriraj Sarvoday Greens ," Bhiwandi, Mumbai Beyond Thane, Mumbai",30 Lac,"6,250",Carpet area: 480 (44.59 sq.m.),1.0,2.0,10th  ,0 to 1 Year Old, Ready to move
Cosmos Park ," kavesar, Thane, Mumbai",1.05 Crore,"9,677",Super Built up area 1085(100.8 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 810 sq.ft. (75.25 sq.m.),3.0,3.0,5th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Bhandup West, Central Mumbai suburbs, Mumbai",78 Lac,"12,000",Super Built up area 650(60.39 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 398 sq.ft. (36.98 sq.m.),1.0,2.0,4th  ,0 to 1 Year Old, Ready to move Property
Orovia Phase 1 ,"0000, Hiranandani Estate, Thane, Mumbai",1.6 Crore,"11,851",Carpet area: 1350 (125.42 sq.m.),3.0,2.0,12nd  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Bhayander East, Mira Road And Beyond, Mumbai",29 Lac,"8,923",Built Up area: 325 (30.19 sq.m.),1.0,1.0,Ground,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Behind Vakola Church, Vakola, Mumbai South West, Mumbai",1.1 Crore,"16,923",Super Built up area 650(60.39 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 450 sq.ft. (41.81 sq.m.),1.0,1.0,4th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"001, Andheri West, Mumbai Andheri-Dahisar, Mumbai",4.25 Crore,"38,636",Carpet area: 1100 (102.19 sq.m.),3.0,3.0,15th  ,10+ Year Old, Ready to move
Oberoi Springs ,"001, Andheri West, Mumbai Andheri-Dahisar, Mumbai",10.5 Crore,"61,764",Carpet area: 1700 (157.94 sq.m.),6.0,4.0,28th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"001, Lokhandwala Andheri West, Mumbai Andheri-Dahisar, Mumbai",3.8 Crore,"34,545",Carpet area: 1100 (102.19 sq.m.),3.0,3.0,3rd  ,10+ Year Old, Ready to move
Kabra Prarthna ,"001, Jvpd Scheme, Mumbai South West, Mumbai",4 Crore,"50,000",Carpet area: 800 (74.32 sq.m.),2.0,3.0,4th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"Off Main Road, Sector 18 Kopar Khairane, Navi Mumbai, Mumbai",95 Lac,"9,500",Super Built up area 1000(92.9 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"Main Road, Sector 6 Kopar Khairane, Navi Mumbai, Mumbai",1.25 Crore,"12,500",Super Built up area 1000(92.9 sq.m.)Built Up area: 800 sq.ft. (74.32 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,3rd  ,10+ Year Old, Ready to move
Kishor Kunj ," Virar, Mira Road And Beyond, Mumbai",40.51 Lac,"4,765",Super Built up area 850(78.97 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 615 sq.ft. (57.14 sq.m.),2.0,2.0,3rd  ,10+ Year Old, Ready to move
Avishi Skyline Complex ," Manda, Mumbai Beyond Thane, Mumbai",31.6 Lac,"7,707",Carpet area: 410 (38.09 sq.m.),1.0,1.0,1st  ,0 to 1 Year Old, Ready to move
Simran Sapphire ,"0000, Kharghar, Navi Mumbai, Mumbai",1.12 Crore,"9,739",Super Built up area 1150(106.84 sq.m.),2.0,2.0,9th  ,5 to 10 Year Old, Ready to move Property
Sunshine Solaris ," Virar West, Mira Road And Beyond, Mumbai",30.21 Lac,"4,166",Super Built up area 725(67.35 sq.m.)Built Up area: 690 sq.ft. (64.1 sq.m.)Carpet area: 458 sq.ft. (42.55 sq.m.),1.0,2.0,4th  ,0 to 1 Year Old, Ready to move
Mukti Shantinath Tower ," Virar West, Mira Road And Beyond, Mumbai",39.5 Lac,"4,270",Super Built up area 925(85.94 sq.m.)Built Up area: 618 sq.ft. (57.41 sq.m.)Carpet area: 534 sq.ft. (49.61 sq.m.),2.0,2.0,7th  ,0 to 1 Year Old, Ready to move
Ravi Gaurav City ," Mira Road East, Mira Road And Beyond, Mumbai",42 Lac,"8,400",Super Built up area 500(46.45 sq.m.)Built Up area: 450 sq.ft. (41.81 sq.m.)Carpet area: 350 sq.ft. (32.52 sq.m.),1.0,1.0,7th  ,10+ Year Old, Ready to move
Kotharis Seven Eleven Complex ," Bevarly Park, Mira Road And Beyond, Mumbai",75 Lac,"7,772",Super Built up area 965(89.65 sq.m.)Built Up area: 880 sq.ft. (81.75 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,3rd  ,1 to 5 Year Old, Ready to move
Salangpur Salasar Aangan ," Kanakia Park, Mira Road And Beyond, Mumbai",42 Lac,"9,333",Super Built up area 450(41.81 sq.m.)Built Up area: 400 sq.ft. (37.16 sq.m.)Carpet area: 300 sq.ft. (27.87 sq.m.),1.0,1.0,Ground,5 to 10 Year Old, Ready to move
Basudeo Vasudev Planet ," Mira Road, Mira Road And Beyond, Mumbai",78 Lac,"8,253",Super Built up area 945(87.79 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2.0,2.0,12nd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"1st, Chandan Shanti, Mira Road And Beyond, Mumbai",53 Lac,"9,636",Super Built up area 550(51.1 sq.m.)Built Up area: 500 sq.ft. (46.45 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1.0,1.0,1st  ,5 to 10 Year Old, Ready to move
Neelsidhi Anexo ," Ghansoli, Navi Mumbai, Mumbai",1.01 Crore,"23,059",Carpet area: 438 (40.69 sq.m.),1.0,2.0,9th  ,0 to 1 Year Old, Ready to move
Bhairaav Gold Crest Residency ," Ghansoli, Navi Mumbai, Mumbai",87 Lac,"12,554",Super Built up area 693(64.38 sq.m.),1.0,1.0,9th  ,1 to 5 Year Old, Ready to move
Vijay Orion ," kavesar, Thane, Mumbai",3.8 Crore,"17,272",Carpet area: 2200 (204.39 sq.m.),4.0,4.0,15th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"Opp. Apna Bank, Sector 18 Ulwe, Navi Mumbai, Mumbai",65.51 Lac,"6,684",Super Built up area 980(91.04 sq.m.),2.0,2.0,6th  ,0 to 1 Year Old, Ready to move Property
Tapovan Aura ,"Prime Locality Of Ulwe, Sector 9 Ulwe, Navi Mumbai, Mumbai",95 Lac,"8,154",Super Built up area 1165(108.23 sq.m.),2.0,2.0,13rd  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099," Waghbil, Thane, Mumbai",1.3 Crore,"19,431",Carpet area: 669 (62.15 sq.m.),2.0,2.0,26th  ,5 to 10 Year Old, Ready to move
Dedhia El Canto ," Dongripada, Thane, Mumbai",1.25 Crore,"17,361",Carpet area: 720 (66.89 sq.m.),2.0,2.0,12nd  ,1 to 5 Year Old, Ready to move
Vijay Enclave ," Vijay Nagari, Thane, Mumbai",1.4 Crore,"11,764",Carpet area: 1190 (110.55 sq.m.),3.0,3.0,8th  ,10+ Year Old, Ready to move
Vijay Galaxy ,"506, Vijay Nagari, Thane, Mumbai",1.08 Crore,"16,927",Carpet area: 638 (59.27 sq.m.),2.0,2.0,5th  ,1 to 5 Year Old, Ready to move
Paradise Sai World City ,"2000, Panvel, Navi Mumbai, Mumbai",2.9 Crore,"9,385",Super Built up area 3090(287.07 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 1911 sq.ft. (177.54 sq.m.),4.0,4.0,20th  ,0 to 1 Year Old, Ready to move Property
Paradise Sai Mannat ,"600, Sector 34A Kharghar, Navi Mumbai, Mumbai",1.4 Crore,"10,727",Super Built up area 1305(121.24 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2.0,2.0,24th  ,1 to 5 Year Old, Ready to move Property
Meena Residency ,"1000, Sector 36 Kharghar, Navi Mumbai, Mumbai",1.3 Crore,"7,647",Super Built up area 1700(157.94 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3.0,3.0,4th  ,1 to 5 Year Old, Ready to move Property
RS Exotica ,"500, Kharghar, Navi Mumbai, Mumbai",1.15 Crore,"10,454",Super Built up area 1100(102.19 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2.0,2.0,5th  ,0 to 1 Year Old, Ready to move Property
VCON Athens ,"300, Sector 35E Kharghar, Navi Mumbai, Mumbai",68 Lac,"10,149",Super Built up area 670(62.25 sq.m.)Built Up area: 550 sq.ft. (51.1 sq.m.)Carpet area: 435 sq.ft. (40.41 sq.m.),1.0,1.0,6th  ,1 to 5 Year Old, Ready to move Property
Piramal Vaikunth ," Balkum, Thane, Mumbai",3 Crore,"21,897",Carpet area: 1370 (127.28 sq.m.),3.0,3.0,7th  ,0 to 1 Year Old, Ready to move Property
Toll Free 1800 41 99099," Sector 9 Ulwe, Navi Mumbai, Mumbai",1.55 Crore,"14,090",Carpet area: 1100 (102.19 sq.m.),3.0,3.0,3rd  ,1 to 5 Year Old, Ready to move
Rachna Mangala Residency ,"1604, Taloja, Navi Mumbai, Mumbai",80 Lac,"6,956",Super Built up area 1150(106.84 sq.m.),2.0,2.0,16th  ,1 to 5 Year Old, Ready to move
Toll Free 1800 41 99099,"1604, Sector 24 Taloja, Navi Mumbai, Mumbai",80 Lac,"11,428",Carpet area: 700 (65.03 sq.m.),2.0,2.0,16th  ,1 to 5 Year Old, Ready to move
Ashar Edge ," Pokhran 2, Thane, Mumbai",2.8 Crore,"18,867",Super Built up area 1484(137.87 sq.m.)Built Up area: 1284 sq.ft. (119.29 sq.m.)Carpet area: 1184 sq.ft. (110 sq.m.),3.0,3.0,30th  ,0 to 1 Year Old, Ready to move Property
Ashar Edge ," Pokhran 2, Thane, Mumbai",1.1 Crore,"16,081",Super Built up area 684(63.55 sq.m.)Built Up area: 584 sq.ft. (54.26 sq.m.)Carpet area: 495 sq.ft. (45.99 sq.m.),1.0,2.0,30th  ,0 to 1 Year Old, Ready to move Property
Ashar Edge ," Pokhran 2, Thane, Mumbai",1.65 Crore,"17,116",Super Built up area 964(89.56 sq.m.)Built Up area: 864 sq.ft. (80.27 sq.m.)Carpet area: 741 sq.ft. (68.84 sq.m.),2.0,2.0,30th  ,0 to 1 Year Old, Ready to move Property
Ashar Edge ," Pokhran 2, Thane, Mumbai",1.59 Crore,"21,870",Carpet area: 727 (67.54 sq.m.),2.0,2.0,30th  ,0 to 1 Year Old, Ready to move Property
Runwal Dahlia ,"0000, Balkum, Thane, Mumbai",2.1 Crore,"17,887",Carpet area: 1174 (109.07 sq.m.),3.0,3.0,25th  ,1 to 5 Year Old, Ready to move Property
Bredco Viceroy Court ,"701, Kandivali East, Mumbai Andheri-Dahisar, Mumbai",1.95 Crore,"19,696",Super Built up area 990(91.97 sq.m.)Carpet area: 680 sq.ft. (63.17 sq.m.),2.0,2.0,8th  ,10+ Year Old, Ready to move
Saivijay Kamalja ," Sector 9 Ulwe, Navi Mumbai, Mumbai",90 Lac,"8,181",Built Up area: 1100 (102.19 sq.m.),2.0,2.0,5th  ,0 to 1 Year Old, Ready to move
Lodha Codename Bullseye ,"2001, Mira Road East, Mira Road And Beyond, Mumbai",1.11 Crore,"16,616",Carpet area: 668 (62.06 sq.m.),2.0,2.0,23rd  ,0 to 1 Year Old, Ready to move Property
Bhoomi Elegant ," Kandivali East, Mumbai Andheri-Dahisar, Mumbai",92 Lac,"15,081",Super Built up area 610(56.67 sq.m.)Carpet area: 430 sq.ft. (39.95 sq.m.),1.0,2.0,3rd  ,5 to 10 Year Old, Ready to move
Bhoomi Elegant ," Kandivali East, Mumbai Andheri-Dahisar, Mumbai",89 Lac,"14,590",Super Built up area 610(56.67 sq.m.)Carpet area: 430 sq.ft. (39.95 sq.m.),1.0,2.0,4th  ,5 to 10 Year Old, Ready to move
Bhoomi Elegant ," Kandivali East, Mumbai Andheri-Dahisar, Mumbai",1.5 Crore,"14,925",Super Built up area 1005(93.37 sq.m.)Carpet area: 640 sq.ft. (59.46 sq.m.),2.0,2.0,2nd  ,5 to 10 Year Old, Ready to move
Abhiyanta CHS ,"203, Sanpada, Navi Mumbai, Mumbai",70 Lac,"18,666",Carpet area: 375 (34.84 sq.m.),1.0,1.0,4th  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099,"103, Sector 35I Kharghar, Navi Mumbai, Mumbai",42 Lac,"6,461",Super Built up area 650(60.39 sq.m.)Built Up area: 560 sq.ft. (52.03 sq.m.)Carpet area: 465 sq.ft. (43.2 sq.m.),1.0,2.0,1st  ,1 to 5 Year Old, Ready to move
Paradise Sai Solitaire ,"1001, Kharghar, Navi Mumbai, Mumbai",1.75 Crore,"11,666",Super Built up area 1500(139.35 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),3.0,3.0,10th  ,5 to 10 Year Old, Ready to move
Siddhi Belleza ,"101, Kutak Bandhan, Navi Mumbai, Mumbai",88 Lac,"7,426",Super Built up area 1185(110.09 sq.m.)Built Up area: 980 sq.ft. (91.04 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2.0,2.0,1st  ,0 to 1 Year Old, Ready to move
Raikar Sujata Empress ,"1001, Kharghar, Navi Mumbai, Mumbai",80 Lac,"7,407",Super Built up area 1080(100.34 sq.m.)Built Up area: 890 sq.ft. (82.68 sq.m.)Carpet area: 690 sq.ft. (64.1 sq.m.),2.0,2.0,10th  ,1 to 5 Year Old, Ready to move
Lord Sai Prasad ,"301, Sector 34C Kharghar, Navi Mumbai, Mumbai",43 Lac,"6,615",Super Built up area 650(60.39 sq.m.)Built Up area: 560 sq.ft. (52.03 sq.m.)Carpet area: 430 sq.ft. (39.95 sq.m.),1.0,1.0,3rd  ,1 to 5 Year Old, Ready to move
Bhoomi Maple Hills ," Sector 35I Kharghar, Navi Mumbai, Mumbai",1.02 Crore,"9,147",Super Built up area 1115(103.59 sq.m.)Carpet area: 825 sq.ft. (76.65 sq.m.),2.0,2.0,1st  ,1 to 5 Year Old, Ready to move
Haware Nirmiti ,"1204, Sector 22 Kamothe, Navi Mumbai, Mumbai",44 Lac,"7,521",Super Built up area 585(54.35 sq.m.)Carpet area: 385 sq.ft. (35.77 sq.m.),1.0,1.0,13rd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099,"502, Sector 22 Kamothe, Navi Mumbai, Mumbai",52 Lac,"8,455",Super Built up area 615(57.14 sq.m.)Carpet area: 400 sq.ft. (37.16 sq.m.),1.0,1.0,2nd  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Kharghar, Navi Mumbai, Mumbai",1.22 Crore,"11,090",Super Built up area 1100(102.19 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2.0,2.0,11st  ,10+ Year Old, Ready to move
Haware Splendor ," Sector 20 Kharghar, Navi Mumbai, Mumbai",63 Lac,"9,692",Super Built up area 650(60.39 sq.m.)Carpet area: 455 sq.ft. (42.27 sq.m.),1.0,1.0,2nd  ,5 to 10 Year Old, Ready to move
Sai Haridra ,"1701, Sector 35G Kharghar, Navi Mumbai, Mumbai",1.05 Crore,"8,936",Super Built up area 1175(109.16 sq.m.)Built Up area: 980 sq.ft. (91.04 sq.m.)Carpet area: 736 sq.ft. (68.38 sq.m.),2.0,2.0,17th  ,5 to 10 Year Old, Ready to move
Earth Aditya Heights ,"000, Sector 19 Kharghar, Navi Mumbai, Mumbai",1 Crore,"9,523",Super Built up area 1050(97.55 sq.m.)Carpet area: 735 sq.ft. (68.28 sq.m.),2.0,2.0,13rd  ,5 to 10 Year Old, Ready to move
Jewel Ekvira ," Sector 10 Kharghar, Navi Mumbai, Mumbai",1.45 Crore,"9,477",Super Built up area 1530(142.14 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3.0,3.0,5th  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 36 Kharghar, Navi Mumbai, Mumbai",41 Lac,"7,454",Built Up area: 550 (51.1 sq.m.)Carpet area: 370 sq.ft. (34.37 sq.m.),1.0,1.0,9th  ,5 to 10 Year Old, Ready to move
R S Grandeur ,"1101, Sector 19 Kharghar, Navi Mumbai, Mumbai",1.25 Crore,"11,363",Built Up area: 1100 (102.19 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2.0,2.0,11st  ,5 to 10 Year Old, Ready to move
Raunak Paradise ," Pokhran 2, Thane, Mumbai",1.2 Crore,"12,060",Super Built up area 995(92.44 sq.m.)Built Up area: 950 sq.ft. (88.26 sq.m.)Carpet area: 710 sq.ft. (65.96 sq.m.),2.0,2.0,10th  ,1 to 5 Year Old, Ready to move
Hiranandani The Walk ,"0000, Hiranandani Estate, Thane, Mumbai",98 Lac,"15,806",Built Up area: 620 (57.6 sq.m.)Carpet area: 419 sq.ft. (38.93 sq.m.),1.0,2.0,12nd  ,1 to 5 Year Old, Ready to move
Payal CHS ," Asha Nagar, Mumbai Andheri-Dahisar, Mumbai",95 Lac,"22,619",Carpet area: 420 (39.02 sq.m.),1.0,1.0,3rd  ,10+ Year Old, Ready to move Property
Toll Free 1800 41 99099," Sector 26 Vashi, Navi Mumbai, Mumbai",1.2 Crore,"11,428",Built Up area: 1050 (97.55 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
Neelkanth Chandra Darshan Sky ,"111, Sector 20 Kamothe, Navi Mumbai, Mumbai",55 Lac,"8,461",Super Built up area 650(60.39 sq.m.),1.0,1.0,1st  ,5 to 10 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 29 Vashi, Navi Mumbai, Mumbai",90 Lac,"13,846",Built Up area: 650 (60.39 sq.m.),2.0,2.0,3rd  ,10+ Year Old, Ready to move
Toll Free 1800 41 99099," Sector 12 Vashi, Navi Mumbai, Mumbai",1.15 Crore,"12,105",Built Up area: 950 (88.26 sq.m.),2.0,2.0,1st  ,10+ Year Old, Ready to move
B and M Atlantis ,"Sector 11, Ghansoli, Navi Mumbai, Mumbai",1.75 Crore,"25,000",Carpet area: 700 (65.03 sq.m.),2.0,2.0,9th  ,1 to 5 Year Old, Ready to move
Siddharth Geetanjali Sujay ," Sector 34C Kharghar, Navi Mumbai, Mumbai",1.8 Crore,"11,145",Super Built up area 1615(150.04 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,3.0,6th  ,1 to 5 Year Old, Ready to move
Neelsidhi Anexo ,"Sector 6, Ghansoli, Navi Mumbai, Mumbai",97 Lac,"13,857",Super Built up area 700(65.03 sq.m.)Built Up area: 555 sq.ft. (51.56 sq.m.)Carpet area: 438 sq.ft. (40.69 sq.m.),1.0,1.0,8th  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099,"0000, Hiranandani Estate, Thane, Mumbai",2.15 Crore,"18,220",Built Up area: 1180 (109.63 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,15th  ,1 to 5 Year Old, Ready to move
Paradise Sai Mannat ,"0000, Sector 34A Kharghar, Navi Mumbai, Mumbai",1.28 Crore,"10,039",Super Built up area 1275(118.45 sq.m.),2.0,2.0,22nd  ,1 to 5 Year Old, Ready to move Property
Lokhandwala Octacrest ,"1602, Lokhandwala Kandivali East, Mumbai Andheri-Dahisar, Mumbai",1.79 Crore,"16,574",Super Built up area 1080(100.34 sq.m.),2.0,2.0,16th  ,1 to 5 Year Old, Ready to move Property
Aurum Q Residences ," Ghansoli, Navi Mumbai, Mumbai",1.75 Crore,"24,475",Carpet area: 715 (66.43 sq.m.),2.0,2.0,21st  ,0 to 1 Year Old, Ready to move
Aurum Q Residences ,"Ghansoli, Ghansoli, Navi Mumbai, Mumbai",1.68 Crore,"14,545",Super Built up area 1155(107.3 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 725 sq.ft. (67.35 sq.m.),2.0,2.0,21st  ,0 to 1 Year Old, Ready to move
RNA NG Grand Plaza ," Ghansoli, Navi Mumbai, Mumbai",2.1 Crore,"14,716",Super Built up area 1427(132.57 sq.m.)Built Up area: 1145 sq.ft. (106.37 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,20th  ,0 to 1 Year Old, Ready to move
Toll Free 1800 41 99099," Sector 14 Vashi, Navi Mumbai, Mumbai",1.8 Crore,"17,142",Built Up area: 1050 (97.55 sq.m.),2.0,2.0,5th  ,10+ Year Old, Ready to move
