Property_Name,Location,Price,Rate_SqFt,Area_Tpye,Bedroom,Bathroom,Floor_No,Property_Age,Availability,Area_SqFt,Region,Price_Lakh
Rustomjee Avenue L1 L2 and L4 ,Virar West Mira Road And Beyond Mumbai,43.5 Lac,7866,Carpet Area,2,2,8,0 to 1 Year,Ready To Move,553,Mira Road,43.5
Right Grishma Heights ,Kandivali West Mumbai,2.05 Crore,29119,Carpet Area,2,2,8,1 to 5 Year,Ready To Move,704,Kandivali Mumbai,205.0
Right Grishma Heights ,Kandivali West Mumbai,2.56 Crore,30065,Carpet Area,3,3,17,0 to 1 Year,Ready To Move,850,Kandivali Mumbai,256.0
Ekta Parksville ,Virar West Mira Road And Beyond Mumbai,28.5 Lac,7640,Carpet Area,1,1,6,1 to 5 Year,Ready To Move,373,Mira Road,28.5
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,70 Lac,10000,Carpet Area,2,2,3,10+ Year,Ready To Move,700,Mumbai Thane,70.0
Royce Vaibhavi City ,Kalyan West Mumbai Beyond Thane Mumbai,45 Lac,6923,Carpet Area,2,1,3,1 to 5 Year,Ready To Move,650,Mumbai Thane,45.0
Sai Satyam Residency ,Kalyan West Mumbai Beyond Thane Mumbai,36 Lac,8275,Carpet Area,1,1,2,1 to 5 Year,Ready To Move,435,Mumbai Thane,36.0
Raunak City 3 ,Kalyan West Mumbai Beyond Thane Mumbai,36 Lac,9890,Carpet Area,1,1,6,5 to 10 Year,Ready To Move,364,Mumbai Thane,36.0
Piramal Nagar CHS ,C 01 Goregaon West Mumbai,1.95 Crore,30000,Super Built Up Area,2,2,1,10+ Year,Ready To Move,905,- Goregaon,195.0
Unnamed Property,B Wing Oxford 202 Manpada Thane Mumbai,82 Lac,16400,Carpet Area,1,2,2,10+ Year,Ready To Move,500,Manpada Thane,82.0
Gajora Kalpavruksha Valley ,Sector 23 Taloja Navi Mumbai Mumbai,38 Lac,5135,Built Up Area,1,2,1,0 to 1 Year,Ready To Move,740,Taloja Navi-Mumbai,38.0
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,37 Lac,8851,Carpet Area,1,1,5,0 to 1 Year,Ready To Move,418,Taloja Navi-Mumbai,37.0
Sai Kaveesha ,Taloja Navi Mumbai Mumbai,40 Lac,9569,Carpet Area,1,1,2,0 to 1 Year,Ready To Move,418,Taloja Navi-Mumbai,40.0
Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,33 Lac,4817,Built Up Area,1,1,4,0 to 1 Year,Ready To Move,685,Panchanand Navi-Mumbai,33.0
Royal Galaxy ,Taloja Panchanand Navi Mumbai Mumbai,24 Lac,5217,Built Up Area,1,1,3,0 to 1 Year,Ready To Move,460,Panchanand Navi-Mumbai,24.0
Unnamed Property,Taloja Panchanand Navi Mumbai Mumbai,45 Lac,6338,Built Up Area,1,1,7,1 to 5 Year,Ready To Move,710,Panchanand Navi-Mumbai,45.0
Kabra Centroid ,Kalina Mumbai South West Mumbai,2.3 Crore,18400,Super Built Up Area,2,2,8,1 to 5 Year,Ready To Move,1250,Kalina Mumbai,230.0
Juhi Residency ,Sector 5 Kamothe Sector 5 Kamothe Navi Mumbai Mumbai,1 Crore,7501,Super Built Up Area,2,2,9,5 to 10 Year,Ready To Move,1333,Kamothe Navi-Mumbai,100.0
Unnamed Property,Sector 20 Kamothe Kamothe Navi Mumbai Mumbai,46 Lac,7076,Built Up Area,1,1,3,5 to 10 Year,Ready To Move,650,Kamothe Navi-Mumbai,46.0
VUB Veermaa Paradise ,Sector 20 Kamothe Sector 20 Kamothe Navi Mumbai Mumbai,66 Lac,9705,Super Built Up Area,1,1,11,1 to 5 Year,Ready To Move,680,Kamothe Navi-Mumbai,66.0
Unnamed Property,Sector 22 Kamothe Sector22 kamothe Navi Mumbai Mumbai,75 Lac,7500,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1000,Kamothe Navi-Mumbai,75.0
Omkar Meridia ,kurla west Central Mumbai suburbs Mumbai,1.1 Crore,24229,Carpet Area,1,1,8,0 to 1 Year,Ready To Move,454,Central Mumbai,110.0
Unnamed Property,IC Colony Mumbai,1.4 Crore,22082,Carpet Area,2,2,3,10+ Year,Ready To Move,634,Ic Colony,140.0
Paradise Sai World City ,Xxxx Panvel Navi Mumbai Mumbai,1.3 Crore,10000,Super Built Up Area,2,2,12,0 to 1 Year,Ready To Move,1300,Panvel Navi-Mumbai,130.0
Tejas Heights ,Xxx Sector 17 Ulwe Navi Mumbai Mumbai,1.24 Crore,10745,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,1154,Ulwe Navi-Mumbai,124.0
Ganraj Eknath Residency ,Dombivli East Thane Mumbai,25.94 Lac,5293,Built Up Area,1,1,1,0 to 1 Year,Ready To Move,490,Dombivli Thane,25.9
Runwal Forests ,3502 Kanjur marg west Central Mumbai suburbs Mumbai,2.95 Crore,19306,Built Up Area,3,2,43,1 to 5 Year,Ready To Move,1528,Central Mumbai,295.0
Runwal Forests ,4504 Kanjur marg west Central Mumbai suburbs Mumbai,2.95 Crore,17061,Built Up Area,3,3,47,1 to 5 Year,Ready To Move,1729,Central Mumbai,295.0
Runwal Forests ,2501 Kanjur marg west Central Mumbai suburbs Mumbai,3 Crore,17351,Built Up Area,3,2,35,1 to 5 Year,Ready To Move,1729,Central Mumbai,300.0
Aadi Allure ,302 Kanjur Marg East Central Mumbai suburbs Mumbai,1.55 Crore,23308,Carpet Area,2,2,3,1 to 5 Year,Ready To Move,665,Central Mumbai,155.0
Aadi Allure ,1201 Kanjur Marg East Central Mumbai suburbs Mumbai,1.75 Crore,23972,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,730,Central Mumbai,175.0
Lake Primrose ,1010 Powai Central Mumbai suburbs Mumbai,3.3 Crore,22000,Super Built Up Area,3,3,10,1 to 5 Year,Ready To Move,1500,Central Mumbai,330.0
Shraddha Autumn Park ,901 Kanjur Marg East Central Mumbai suburbs Mumbai,95 Lac,25333,Carpet Area,1,2,9,1 to 5 Year,Ready To Move,375,Central Mumbai,95.0
Vijay Garden ,kavesar Thane Mumbai,58 Lac,8923,Super Built Up Area,1,1,7,10+ Year,Ready To Move,650,Kavesar Thane,58.0
Ekta Parksville ,Virar West Mira Road And Beyond Mumbai,41.5 Lac,6250,Carpet Area,2,2,10,1 to 5 Year,Ready To Move,664,Mira Road,41.5
Godrej Tranquil ,Kandivali East Mumbai,1.05 Crore,23972,Carpet Area,1,2,5,Dec-23,Under Construction,438,Kandivali Mumbai,105.0
Unnamed Property,Acme Oasis Lokhandwala Township Kandivali East Kandivali East Mumbai,2.2 Crore,17600,Super Built Up Area,3,3,16,1 to 5 Year,Ready To Move,1250,Kandivali Kandivali,220.0
Deep Auralis The Twins ,Teen Hath Naka Thane Mumbai,3 Crore,15007,Super Built Up Area,4,4,4,0 to 1 Year,Ready To Move,1999,Teen-Hath-Naka Thane,300.0
Hiranandani Northside ,Hiranandani Meadows Thane Mumbai,3.41 Crore,19157,Built Up Area,3,3,8,10+ Year,Ready To Move,1780,Meadows Thane,341.0
Runwal Forests ,Kanjur marg west Central Mumbai suburbs Mumbai,3 Crore,27777,Carpet Area,3,3,35,0 to 1 Year,Ready To Move,1080,Central Mumbai,300.0
Jewel Heights ,403 Badlapur West Mumbai Beyond Thane Mumbai,36 Lac,6101,Carpet Area,2,2,4,0 to 1 Year,Ready To Move,590,Mumbai Thane,36.0
Jewel Heights ,305 Badlapur West Mumbai Beyond Thane Mumbai,35 Lac,6250,Carpet Area,2,2,3,0 to 1 Year,Ready To Move,560,Mumbai Thane,35.0
Jewel Heights ,401 Badlapur West Mumbai Beyond Thane Mumbai,24.5 Lac,5000,Carpet Area,1,1,4,0 to 1 Year,Ready To Move,490,Mumbai Thane,24.5
Jewel Heights ,202 Badlapur West Mumbai Beyond Thane Mumbai,23 Lac,4791,Carpet Area,1,1,2,0 to 1 Year,Ready To Move,480,Mumbai Thane,23.0
Adhiraj Zinnia ,1402 Kharghar Navi Mumbai Mumbai,2.1 Crore,13125,Super Built Up Area,3,3,15,5 to 10 Year,Ready To Move,1600,Kharghar Navi-Mumbai,210.0
Indraprastha CHS ,Sion East Central Mumbai suburbs Mumbai,5 Crore,38461,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,1300,Central Mumbai,500.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,39.75 Lac,8892,Carpet Area,1,1,23,1 to 5 Year,Ready To Move,447,Panvel Navi-Mumbai,39.8
Unnamed Property,1700 Anand Nagar Thane Mumbai,1.7 Crore,12142,Super Built Up Area,3,3,19,0 to 1 Year,Ready To Move,1500,Nagar Thane,170.0
Satyam Harmony ,Koparkhairane Navi Mumbai Mumbai,1.95 Crore,16182,Super Built Up Area,3,2,17,1 to 5 Year,Ready To Move,1205,Koparkhairane Navi-Mumbai,195.0
Unnamed Property,Kalyan East Mumbai Beyond Thane Mumbai,28 Lac,4057,Super Built Up Area,1,1,1,5 to 10 Year,Ready To Move,690,Mumbai Thane,28.0
Unnamed Property,Sector 15 Ghansoli Navi Mumbai Mumbai,1.1 Crore,10000,Built Up Area,2,2,2,1 to 5 Year,Ready To Move,1100,Ghansoli Navi-Mumbai,110.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.85 Crore,14241,Super Built Up Area,2,2,12,1 to 5 Year,Ready To Move,1299,Ghansoli Navi-Mumbai,185.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,2.75 Crore,19271,Super Built Up Area,3,3,9,1 to 5 Year,Ready To Move,1427,Ghansoli Navi-Mumbai,275.0
RNA NG Grand Plaza ,Ghansoli Navi Mumbai Mumbai,1.9 Crore,13314,Super Built Up Area,2,2,20,1 to 5 Year,Ready To Move,1427,Ghansoli Navi-Mumbai,190.0
Juhi Serenity ,1806 Ghansoli Navi Mumbai Mumbai,1.75 Crore,14583,Super Built Up Area,2,2,18,1 to 5 Year,Ready To Move,1200,Ghansoli Navi-Mumbai,175.0
Unnamed Property,304 Gaovdevi Maidan Thane West Thane Mumbai,90 Lac,14516,Super Built Up Area,1,1,3,10+ Year,Ready To Move,620,Thane Thane,90.0
Kanakia Paris ,1001 Bandra Kurla Complex Mumbai South West Mumbai,3.5 Crore,33849,Carpet Area,3,2,10,1 to 5 Year,Ready To Move,1034,Complex Mumbai,350.0
Unnamed Property,401 Naupada Thane Mumbai,2.3 Crore,15333,Super Built Up Area,3,3,4,1 to 5 Year,Ready To Move,1500,Naupada Thane,230.0
Dosti West County ,2 Bhk Hill Facing Flat Available Balkum Thane Mumbai,1.12 Crore,14000,Built Up Area,2,2,15,0 to 1 Year,Ready To Move,800,Balkum Thane,112.0
Unnamed Property,302 Naupada Thane Mumbai,1.65 Crore,16500,Super Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1000,Naupada Thane,165.0
Unnamed Property,202 Hiranandani Estate Thane Mumbai,1.2 Crore,17142,Carpet Area,2,2,2,5 to 10 Year,Ready To Move,700,Hiranandani-Estate Thane,120.0
Hiranandani Gardens Lotus ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,2.55 Crore,30000,Built Up Area,2,2,5,10+ Year,Ready To Move,850,Central Mumbai,255.0
Unnamed Property,Balkum Thane Mumbai,96 Lac,11750,Built Up Area,2,2,28,0 to 1 Year,Ready To Move,817,Balkum Thane,96.0
RNA NG Regency ,Balkum Thane Mumbai,53 Lac,9137,Built Up Area,1,1,5,1 to 5 Year,Ready To Move,580,Balkum Thane,53.0
Orovia Phase 1 ,Hiranandani Estate Thane Mumbai,74 Lac,11111,Built Up Area,1,2,19,1 to 5 Year,Ready To Move,666,Hiranandani-Estate Thane,74.0
Tharwani Krupa ,Kamothe Navi Mumbai Mumbai,79.75 Lac,8137,Super Built Up Area,2,2,2,1 to 5 Year,Ready To Move,980,Kamothe Navi-Mumbai,79.8
Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,63 Lac,6331,Super Built Up Area,2,2,1,0 to 1 Year,Ready To Move,995,Shilphata Navi-Mumbai,63.0
Unnamed Property,2003 Hiranandani Estate Thane Mumbai,1.3 Crore,17333,Carpet Area,2,2,20,5 to 10 Year,Ready To Move,750,Hiranandani-Estate Thane,130.0
Unnamed Property,Sector 14 Vashi Navi Mumbai Mumbai,1.7 Crore,15454,Built Up Area,2,2,2,10+ Year,Ready To Move,1100,Vashi Navi-Mumbai,170.0
Unnamed Property,Nalasopara East Mira Road And Beyond Mumbai,33 Lac,5076,Super Built Up Area,1,2,1,5 to 10 Year,Ready To Move,650,Mira Road,33.0
Shree Ostwal Point ,Mira Bhayandar Mira Road And Beyond Mumbai,41 Lac,13311,Carpet Area,1,1,1,0 to 1 Year,Ready To Move,308,Mira Road,41.0
Unnamed Property,2bhk With Large Balcony Flat Available For Sell Manpada Thane Mumbai,1.25 Crore,11363,Super Built Up Area,2,2,6,5 to 10 Year,Ready To Move,1100,Manpada Thane,125.0
Oberoi Splendor ,Oberoi Splendor Nr Oberoi International School Jvlr Andheri East Mumbai 400060 Jogeshwari East Mumbai,3.98 Crore,28867,Super Built Up Area,3,2,23,5 to 10 Year,Ready To Move,1377,Mumbai Jogeshwari,398.0
Indiabulls Greens ,Panvel Navi Mumbai Mumbai,65 Lac,5701,Built Up Area,2,2,34,1 to 5 Year,Ready To Move,1140,Panvel Navi-Mumbai,65.0
Unnamed Property,Virar East Mira Road And Beyond Mumbai,26 Lac,4948,Carpet Area,1,2,0,5 to 10 Year,Ready To Move,485,Mira Road,26.0
Ayodhya Saffron Residency ,1001 Nehru Nagar Central Mumbai suburbs Mumbai,1.2 Crore,26030,Carpet Area,1,2,10,Under Construction,Under Construction,461,Central Mumbai,120.0
Unnamed Property,Matunga East South Mumbai Mumbai,7.51 Crore,42914,Carpet Area,4,5,8,1 to 5 Year,Ready To Move,1750,Matunga Mumbai,751.0
Unnamed Property,Koparkhairane Navi Mumbai Mumbai,1.15 Crore,12777,Built Up Area,2,2,2,10+ Year,Ready To Move,900,Koparkhairane Navi-Mumbai,115.0
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,1.7 Crore,9189,Super Built Up Area,3,3,8,0 to 1 Year,Ready To Move,1850,Ulwe Navi-Mumbai,170.0
JP North Celeste ,123 Vinay Nagar Mira Road And Beyond Mumbai,67 Lac,8862,Super Built Up Area,1,2,12,1 to 5 Year,Ready To Move,756,Mira Road,67.0
JP North Garden City ,123 Vinay Nagar Mira Road And Beyond Mumbai,62 Lac,8946,Super Built Up Area,1,2,22,0 to 1 Year,Ready To Move,693,Mira Road,62.0
Arkade Acropolis ,Virar West Mira Road And Beyond Mumbai,28.5 Lac,4523,Super Built Up Area,1,2,5,5 to 10 Year,Ready To Move,630,Mira Road,28.5
Raj Grandeur ,Powai Central Mumbai suburbs Mumbai,7.5 Crore,22321,Super Built Up Area,4,3,23,1 to 5 Year,Ready To Move,3360,Central Mumbai,750.0
Silicon Park ,0000 Jankalyan Nagar Mumbai,1.85 Crore,14068,Built Up Area,3,3,1,5 to 10 Year,Ready To Move,1600,Jankalyan Nagar,185.0
Unique Aurum ,4th Poonam Gardens Mira Road And Beyond Mumbai,95 Lac,9693,Super Built Up Area,2,2,4,5 to 10 Year,Ready To Move,980,Mira Road,95.0
Unnamed Property,Flat No 2 Mahalaxmi South Mumbai Mumbai,1.29 Crore,30833,Super Built Up Area,1,1,1,10+ Year,Ready To Move,500,Mahalaxmi Mumbai,129.0
Aashray Pearl ,Ambernath East Mumbai Beyond Thane Mumbai,24 Lac,3999,Built Up Area,1,1,6,1 to 5 Year,Ready To Move,600,Mumbai Thane,24.0
Hiranandani Rodas Enclave ,Hiranandani Estate Thane Mumbai,1.7 Crore,23383,Carpet Area,2,2,9,1 to 5 Year,Ready To Move,727,Hiranandani-Estate Thane,170.0
Sunteck West World ,550 Naigaon East Mira Road And Beyond Mumbai,45 Lac,11479,Carpet Area,1,2,5,0 to 1 Year,Ready To Move,392,Mira Road,45.0
Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,1.6 Crore,10666,Super Built Up Area,3,3,8,5 to 10 Year,Ready To Move,1500,Kharghar Navi-Mumbai,160.0
Unnamed Property,10mins Walking Distance From Seawoods Rly Stn Sector 44A Seawoods Navi Mumbai Mumbai,2.6 Crore,14444,Built Up Area,3,3,7,5 to 10 Year,Ready To Move,1800,Seawoods Navi-Mumbai,260.0
Unnamed Property,Malad West Mumbai,90 Lac,20930,Carpet Area,1,2,3,10+ Year,Ready To Move,430,Malad Mumbai,90.0
Shree Gokul dham ,Sector 35 Kharghar Navi Mumbai Mumbai,99 Lac,9850,Super Built Up Area,2,2,2,1 to 5 Year,Ready To Move,1005,Kharghar Navi-Mumbai,99.0
Siddhi Belleza ,Kutak Bandhan Navi Mumbai Mumbai,99 Lac,8354,Super Built Up Area,2,2,1,1 to 5 Year,Ready To Move,1185,Bandhan Navi-Mumbai,99.0
Nisarg Hyde Park ,Sector 35G Kharghar Navi Mumbai Mumbai,68 Lac,9031,Super Built Up Area,1,1,10,5 to 10 Year,Ready To Move,670,Kharghar Navi-Mumbai,68.0
Vikas Ritz ,Kalyan West Mumbai Beyond Thane Mumbai,88 Lac,11354,Carpet Area,3,3,3,0 to 1 Year,Ready To Move,775,Mumbai Thane,88.0
Royal Oasis ,Jankalyan Nagar Mumbai,1.42 Crore,21225,Carpet Area,2,2,13,0 to 1 Year,Ready To Move,669,Jankalyan Nagar,142.0
Dynamic Triveni Garden ,Adharwadi Mumbai Beyond Thane Mumbai,75 Lac,12135,Carpet Area,2,2,7,1 to 5 Year,Ready To Move,618,Mumbai Thane,75.0
Silicon Park ,Jankalyan Nagar Mumbai,82 Lac,11714,Super Built Up Area,1,2,6,5 to 10 Year,Ready To Move,700,Jankalyan Nagar,82.0
Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,3.25 Crore,41827,Carpet Area,2,2,3,0 to 1 Year,Ready To Move,777,Central Mumbai,325.0
Unnamed Property,101 Chandivali Central Mumbai suburbs Mumbai,4 Crore,32258,Carpet Area,3,3,1,0 to 1 Year,Ready To Move,1240,Central Mumbai,400.0
Sejal Suyash Pride ,Sector 5 Ulwe Navi Mumbai Mumbai,85 Lac,7589,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1120,Ulwe Navi-Mumbai,85.0
Unnamed Property,Koparkhairane Navi Mumbai Mumbai,1.29 Crore,16125,Carpet Area,2,2,5,10+ Year,Ready To Move,800,Koparkhairane Navi-Mumbai,129.0
Cosmos Angle ,GB Road Thane Mumbai,1.33 Crore,13854,Carpet Area,3,3,6,5 to 10 Year,Ready To Move,960,Road Thane,133.0
Unnamed Property,Sector 30 Belapur Navi Mumbai Mumbai,2.7 Crore,15000,Built Up Area,3,3,14,5 to 10 Year,Ready To Move,1800,Belapur Navi-Mumbai,270.0
Arkade Serene ,Sunder Nagar Mumbai,1.71 Crore,28311,Carpet Area,2,2,11,0 to 1 Year,Ready To Move,604,Sunder Nagar,171.0
Neptune Flying Kite ,Bhandup West Central Mumbai suburbs Mumbai,2.26 Crore,20582,Carpet Area,3,3,19,0 to 1 Year,Ready To Move,1098,Central Mumbai,226.0
Valencia Apartment ,403 Wadala East Mumbai Harbour Mumbai,1.18 Crore,26111,Carpet Area,1,2,4,10+ Year,Ready To Move,450,Mumbai Harbour,118.0
Unnamed Property,Powai Central Mumbai suburbs Mumbai,1.5 Crore,25000,Carpet Area,2,2,1,5 to 10 Year,Ready To Move,600,Central Mumbai,150.0
Anmol Sadan ,Kharghar Navi Mumbai Mumbai,1.1 Crore,7333,Super Built Up Area,3,3,5,5 to 10 Year,Ready To Move,1500,Kharghar Navi-Mumbai,110.0
Satyam Majestic ,Ulwe Navi Mumbai Mumbai,1.25 Crore,8064,Super Built Up Area,3,3,13,1 to 5 Year,Ready To Move,1550,Ulwe Navi-Mumbai,125.0
Unnamed Property,Sector 9 Ulwe Navi Mumbai Mumbai,1.5 Crore,9090,Built Up Area,3,3,3,1 to 5 Year,Ready To Move,1650,Ulwe Navi-Mumbai,150.0
Delta Tower ,Ulwe Navi Mumbai Mumbai,1.55 Crore,8959,Super Built Up Area,3,3,6,1 to 5 Year,Ready To Move,1730,Ulwe Navi-Mumbai,155.0
Balaji Delta Tower 2 ,Ulwe Navi Mumbai Mumbai,1.15 Crore,8518,Super Built Up Area,2,2,10,1 to 5 Year,Ready To Move,1350,Ulwe Navi-Mumbai,115.0
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,1.65 Crore,8918,Super Built Up Area,3,3,3,1 to 5 Year,Ready To Move,1850,Ulwe Navi-Mumbai,165.0
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,1.2 Crore,8888,Built Up Area,2,2,3,1 to 5 Year,Ready To Move,1350,Ulwe Navi-Mumbai,120.0
Sahil Siddhivinayak Solitaire ,Sector 18 Ulwe Navi Mumbai Mumbai,1.5 Crore,9090,Built Up Area,3,3,9,1 to 5 Year,Ready To Move,1650,Ulwe Navi-Mumbai,150.0
Laxmina Aurum ,Ulwe Sector 17 Ulwe Navi Mumbai Mumbai,84 Lac,7440,Super Built Up Area,2,2,8,1 to 5 Year,Ready To Move,1129,Ulwe Navi-Mumbai,84.0
Unnamed Property,Neral Mumbai Beyond Thane Mumbai,22.22 Lac,3267,Super Built Up Area,1,2,1,0 to 1 Year,Ready To Move,680,Mumbai Thane,22.2
Shyam Sunrise ,Near Bank Of Baroda Kamothe Navi Mumbai Mumbai,55 Lac,8396,Super Built Up Area,1,1,1,1 to 5 Year,Ready To Move,655,Kamothe Navi-Mumbai,55.0
Vardhman Bhoomi Jyot ,Near K K Cinema Kamothe Sector 18 Kamothe Navi Mumbai Mumbai,75 Lac,7352,Super Built Up Area,2,2,2,5 to 10 Year,Ready To Move,1020,Kamothe Navi-Mumbai,75.0
Radiant Sapphire ,Ulwe Navi Mumbai Mumbai,1 Crore,8771,Built Up Area,2,2,7,0 to 1 Year,Ready To Move,1140,Ulwe Navi-Mumbai,100.0
Anmol Sankalp ,Ulwe Sector 5 Ulwe Navi Mumbai Mumbai,93 Lac,8454,Super Built Up Area,2,2,12,1 to 5 Year,Ready To Move,1100,Ulwe Navi-Mumbai,93.0
Unnamed Property,Ulwe Sector 10B Ulwe Navi Mumbai Mumbai,1.05 Crore,8750,Built Up Area,2,2,6,0 to 1 Year,Ready To Move,1200,Ulwe Navi-Mumbai,105.0
SM Vision ,Sector 9 Ulwe Navi Mumbai Mumbai,1.65 Crore,10000,Built Up Area,3,3,9,1 to 5 Year,Ready To Move,1650,Ulwe Navi-Mumbai,165.0
Gami Trixie ,Sector 20 Ulwe Navi Mumbai Mumbai,1.05 Crore,9130,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1150,Ulwe Navi-Mumbai,105.0
Sheth Vasant Oasis ,Makwana Road Marol Marol Mumbai,1.35 Crore,27625,Carpet Area,1,1,5,0 to 1 Year,Ready To Move,450,Marol Marol,135.0
Earth Aditya Heights ,Kharghar Sector 19 Kharghar Navi Mumbai Mumbai,1.03 Crore,8879,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,1160,Kharghar Navi-Mumbai,103.0
Kesar Harmony ,Kharghar Sector 6 Kharghar Navi Mumbai Mumbai,2.7 Crore,14594,Super Built Up Area,3,3,6,5 to 10 Year,Ready To Move,1850,Kharghar Navi-Mumbai,270.0
DLH Mamta ,1405 DN Nagar Mumbai,2.6 Crore,23636,Super Built Up Area,2,2,14,0 to 1 Year,Ready To Move,1100,Dn Nagar,260.0
Kukreja Golf Scappe ,Chembur East Mumbai Harbour Mumbai,2.5 Crore,34059,Carpet Area,2,2,3,5 to 10 Year,Ready To Move,734,Mumbai Harbour,250.0
Lodha Fiorenza ,Goregaon East Mumbai,3 Crore,35799,Carpet Area,2,2,42,1 to 5 Year,Ready To Move,838,Goregaon Mumbai,300.0
Lodha Fiorenza ,Goregaon East Mumbai,3.65 Crore,33181,Carpet Area,3,3,20,1 to 5 Year,Ready To Move,1100,Goregaon Mumbai,365.0
Lodha Splendora ,Ghodbunder Road Thane Mumbai,1.09 Crore,10976,Carpet Area,3,3,23,1 to 5 Year,Ready To Move,993,Road Thane,109.0
Yash Signature ,Deonar Mumbai Harbour Mumbai,1.85 Crore,13357,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1385,Mumbai Harbour,185.0
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,1.95 Crore,25896,Carpet Area,2,3,18,0 to 1 Year,Ready To Move,753,Kandarpada Mumbai,195.0
Mallhar Bhimashankar Heights ,Kandarpada Mumbai,1.96 Crore,26029,Carpet Area,2,3,19,0 to 1 Year,Ready To Move,753,Kandarpada Mumbai,196.0
Unnamed Property,Dahisar West Mumbai,1.02 Crore,24000,Carpet Area,1,1,4,10+ Year,Ready To Move,425,Dahisar Mumbai,102.0
Unnamed Property,IC Colony Mumbai,71 Lac,28400,Carpet Area,1,1,1,5 to 10 Year,Ready To Move,250,Ic Colony,71.0
Nahars Amrit Shakti ,Chandivali Central Mumbai suburbs Mumbai,2 Crore,22471,Super Built Up Area,2,2,12,5 to 10 Year,Ready To Move,890,Central Mumbai,200.0
Unnamed Property,Powai Central Mumbai suburbs Mumbai,3.35 Crore,33168,Super Built Up Area,2,2,7,1 to 5 Year,Ready To Move,1010,Central Mumbai,335.0
Unnamed Property,Powai Central Mumbai suburbs Mumbai,3.3 Crore,32640,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,1011,Central Mumbai,330.0
Unnamed Property,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,1.5 Crore,30000,Super Built Up Area,1,2,3,1 to 5 Year,Ready To Move,500,Central Mumbai,150.0
Haware Dahlia ,Kasar vadavali Thane Mumbai,47 Lac,7424,Super Built Up Area,1,2,5,1 to 5 Year,Ready To Move,633,Vadavali Thane,47.0
Dedhia Elita ,Owale Thane Mumbai,1.05 Crore,10324,Super Built Up Area,2,2,20,1 to 5 Year,Ready To Move,1017,Owale Thane,105.0
Unique Greens ,kavesar Thane Mumbai,67 Lac,9054,Super Built Up Area,1,2,9,1 to 5 Year,Ready To Move,740,Kavesar Thane,67.0
Kiran Shree Smaran ,Kasar vadavali Thane Mumbai,74 Lac,11878,Carpet Area,2,2,3,0 to 1 Year,Ready To Move,623,Vadavali Thane,74.0
Vihangs Vermont ,Thane West Thane Mumbai,71 Lac,7521,Super Built Up Area,2,2,6,0 to 1 Year,Ready To Move,944,Thane Thane,71.0
Squarefeet Grand Square ,Anand Nagar Thane Mumbai,44 Lac,9799,Super Built Up Area,1,1,3,1 to 5 Year,Ready To Move,449,Nagar Thane,44.0
KIPL Morya ,Kasar vadavali Thane Mumbai,37 Lac,11562,Carpet Area,1,1,8,0 to 1 Year,Ready To Move,320,Vadavali Thane,37.0
Unnamed Property,Ghodbunder Road Thane Mumbai,59 Lac,13720,Carpet Area,1,2,15,0 to 1 Year,Ready To Move,430,Road Thane,59.0
Unnamed Property,Ghodbunder Road Thane Mumbai,80 Lac,12307,Carpet Area,2,2,17,0 to 1 Year,Ready To Move,650,Road Thane,80.0
KIPL Morya ,Kasar vadavali Thane Mumbai,55 Lac,7607,Super Built Up Area,1,1,14,0 to 1 Year,Ready To Move,723,Vadavali Thane,55.0
KIPL Morya ,Kasar vadavali Thane Mumbai,47 Lac,11750,Carpet Area,1,2,10,0 to 1 Year,Ready To Move,400,Vadavali Thane,47.0
Puraniks Aarambh ,Kasar vadavali Thane Mumbai,79 Lac,13166,Carpet Area,2,2,12,1 to 5 Year,Ready To Move,600,Vadavali Thane,79.0
Puraniks Capitol ,Kasar vadavali Thane Mumbai,85 Lac,9052,Super Built Up Area,2,2,13,1 to 5 Year,Ready To Move,939,Vadavali Thane,85.0
