Property_Name,Location,Region,Property_Age,Availability,Area_Tpye,Area_SqFt,Rate_SqFt,Floor_No,Bedroom,Bathroom,Price_Lakh
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Carpet Area,740,41216,2,2,2,305
Platinum Om Sai Shrushti ,B 304 Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,59.68,147453,3,2,2,88
Unnamed Property,504a Sector 44A Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1071,13538,5,2,2,145
Man Opus ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Built Up Area,650,10461,11,1,2,64
Lodha Splendora ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,750,12800,4,2,2,96
Unnamed Property,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1555,41800,10,4,4,650
Unnamed Property,Kandivali East Mumbai,Kandivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,516,22286,11,2,2,115
Unnamed Property,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,10+ Year,Ready To Move,Built Up Area,486,33950,2,1,2,165
Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,650,26923,2,2,1,175
Unnamed Property,104 Ambernath Mumbai Beyond Thane Mumbai,Ambernath Mumbai,1 to 5 Year,Ready To Move,Built Up Area,808,5198,1,1,2,42
Unnamed Property,303 Sector 12 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,638,8150,3,1,2,52
Unnamed Property,B 108 Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,10+ Year,Ready To Move,Carpet Area,600,5833,1,1,1,35
Laxmi Aashirwad ,111 Khandeshwar Navi Mumbai Mumbai,Khandeshwar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1020,7431,6,2,2,75.8
Unnamed Property,Malad East Mumbai,Malad Mumbai,10+ Year,Ready To Move,Carpet Area,1100,17272,7,3,3,190
Unnamed Property,Ulhasnagar Mumbai Beyond Thane Mumbai,Ulhasnagar Mumbai,Under Construction,Under Construction,Super Built Up Area,470,5319,1,1,1,25
Aristo Lloyds Estate ,1103 Wadala East Mumbai Harbour Mumbai,Mumbai Harbour,10+ Year,Ready To Move,Super Built Up Area,700,22142,11,1,1,155
Unnamed Property,Sector 17 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1010,8910,7,2,2,90
Shree Vastupurti Hill View Complex ,D317 Adaigaon Navi Mumbai Mumbai,Adaigaon Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,321,8255,3,1,1,26.5
Suyash Atmaram Park ,Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,750,5666,7,1,2,42.5
Dattani Tower ,Borivali West Mumbai,Borivali Mumbai,10+ Year,Ready To Move,Built Up Area,1171,23057,9,3,3,270
Unnamed Property,Flat 103 Malhar Chs Vartak Nagar Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,875,14857,1,2,2,130
Sunshine Infinity ,501 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,2550,22549,5,4,3,575
Arihant Anshula ,Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,750,4666,2,1,1,35
Lodha Palava Downtown ,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Super Built Up Area,1374,8731,11,3,2,75
Dipti Sweta CHS ,Jogeshwari East Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,650,20769,4,1,2,135
Unnamed Property,Worli Seaface South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,682,47653,1,1,1,325
K Raheja Nest ,Andheri East Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Built Up Area,985,18274,1,2,2,180
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1100,33636,3,3,3,370
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,420,33333,3,1,1,140
Unnamed Property,Vile Parle East Mumbai South West Mumbai,Vile Parle Mumbai,10+ Year,Ready To Move,Carpet Area,1230,43495,1,3,3,535
Unnamed Property,Swanand Saffire Badlapur East Badlapur East Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,685,4963,5,1,1,32
Unnamed Property,Dombivli West Thane Mumbai,Dombivli Thane,10+ Year,Ready To Move,Carpet Area,480,6894,4,1,2,33.9
Unnamed Property,Krishanlal Marwah Marg Opp Tata Power Marol Andheri East Andheri East Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1009,16791,5,2,2,225
Mallhar Bhimashankar Heights ,New Link Road Kandarpada Dahisar West Kandarpada Mumbai,Dahisar Mumbai,0 to 1 Year,Ready To Move,Carpet Area,770,27272,14,2,2,210
Unnamed Property,Vissanji Park Dadar East South Mumbai Mumbai,Dadar Mumbai,10+ Year,Ready To Move,Built Up Area,950,27368,1,2,3,260
Westin Ravi Kiran CHS ,101 Azad Nagar Mumbai,Azad Nagar,1 to 5 Year,Ready To Move,Built Up Area,1200,22083,1,3,3,265
Unnamed Property,Lower Parel West South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,500,43000,16,1,2,215
Unnamed Property,Kalwa Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,710,11267,1,3,2,80
Unnamed Property,Ambernath East Mumbai Beyond Thane Mumbai,Ambernath Mumbai,10+ Year,Ready To Move,Built Up Area,700,5000,3,2,1,35
Unnamed Property,Rajguru Apartments Narangi Bypass Dongarpada Near John Xxiii High School Virar West Virar West Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,860,5232,3,2,2,45
Pawan Vatika ,Adharwadi Jail Road Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Built Up Area,1010,7128,3,2,2,68
Signature Residency ,Godhbunder Road Thane Patlipada Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Super Built Up Area,1120,11607,3,2,2,150
Unnamed Property,A303 Virar Bolinj Saidarshan Virar West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,625,4240,3,1,1,26.5
Unnamed Property,Dahisar West Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Built Up Area,810,17283,1,2,2,140
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,1 to 5 Year,Ready To Move,Built Up Area,575,28696,5,2,2,156
Unnamed Property,Sector 14 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,800,21375,4,2,2,171
Radhey Heritage ,Ground Floor Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,925,4864,0,2,2,45
Sourabh CHS ,B 5 Sector 1 Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,475,9473,0,1,1,45
Siddhivinayak Eden ,A 103 Palaspa Navi Mumbai Mumbai,Palaspa Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,695,5179,1,1,2,36
Unnamed Property,Near Maxus Mall Bhayander West Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Carpet Area,575,21043,2,2,2,121
Unnamed Property,Room No 303 Taloja Navi Mumbai Mumbai,Taloja Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,363,8815,3,1,1,32
Unnamed Property,Sion East Central Mumbai suburbs Mumbai,Central Mumbai,5 to 10 Year,Ready To Move,Built Up Area,700,21428,1,2,2,150
Sunny Orchid Bliss ,1204 Sector 5 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1085,9523,12,2,2,105
Om Shivam Arjun ,111 Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1080,8425,4,2,2,91
Sai Karuna CHS ,Sector 29 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,635,17322,6,1,1,110
Unnamed Property,Malad East Mumbai,Malad Mumbai,1 to 5 Year,Ready To Move,Carpet Area,680,25000,15,2,2,170
Unnamed Property,Shirgaon Mumbai Beyond Thane Mumbai,Shirgaon Mumbai,1 to 5 Year,Ready To Move,Built Up Area,670,3955,6,1,1,26.5
Unnamed Property,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,500,14600,26,2,1,73
Unnamed Property,101 Prabhadevi South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Carpet Area,800,46000,1,2,2,368
Dnyaneshawari Apartments ,Sector 16 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,615,11707,8,1,1,72
Unnamed Property,Kandivali West Mumbai,Kandivali Mumbai,10+ Year,Ready To Move,Carpet Area,1024,30761,4,3,3,315
Unnamed Property,Bhagat Colony Mumbai,Bhagat Colony,10+ Year,Ready To Move,Carpet Area,668,25449,5,2,2,170
Unnamed Property,802 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1080,13333,8,2,2,96
Vishwa Hans ,701 Sector 35 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1250,14666,7,2,2,110
Meena Residency ,402 Sector 36 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1750,12380,4,3,3,130
Siddharth Geetanjali Sujay ,601 Sector 34 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1615,10526,6,3,3,170
Shakti Sky Avenue ,Sector 34 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1180,8135,7,2,2,96
Delta Tower ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1285,8560,3,2,2,110
LK Prince Tower ,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1100,7636,9,2,2,84
Suyog Jeevan Anand ,Bhandup West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,360,21388,1,1,1,77
Sai Chhaya Sadan CHS ,Ambika Nagar Mumbai Beyond Thane Mumbai,Ambika Nagar Mumbai,10+ Year,Ready To Move,Built Up Area,515,8155,2,1,1,42
Shanti Green Palms ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1150,14347,7,2,2,165
Unnamed Property,401 Naupada Thane Mumbai,Naupada Thane,1 to 5 Year,Ready To Move,Super Built Up Area,730,19000,4,1,1,95
Unnamed Property,Worli Hill Road Opp Jari Mari Mata Mandir Worli Hill South Mumbai Mumbai,South Mumbai,10+ Year,Ready To Move,Super Built Up Area,675,40740,3,2,2,275
Shree Ostwal Point ,Mira Bhayandar Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Carpet Area,185,18108,3,1,1,33.5
Unnamed Property,Jogeshwari West Mumbai,Jogeshwari Mumbai,5 to 10 Year,Ready To Move,Carpet Area,580,24655,1,2,1,118
Unnamed Property,Xxx Sector 19 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1300,10000,2,2,2,130
Unnamed Property,Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Carpet Area,775,38580,4,2,2,299
Sheffield Towers ,Lokhandwala Andheri West Mumbai,Andheri Mumbai,10+ Year,Ready To Move,Super Built Up Area,1050,29523,6,2,2,310
Unnamed Property,Sector 20 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,900,10777,1,2,2,97
Ashok Nagar ,Balkum Thane Mumbai,Balkum Thane,5 to 10 Year,Ready To Move,Built Up Area,890,10224,1,1,2,101
Unnamed Property,Thane West Thane Mumbai,Thane,10+ Year,Ready To Move,Carpet Area,1500,16666,3,3,3,250
DSK Madhuban ,A2 107 Sakinaka Mumbai,Sakinaka Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1203,14962,1,2,2,160
Unnamed Property,Shastri Nagar Mumbai,Shastri Nagar,10+ Year,Ready To Move,Built Up Area,800,30625,4,2,2,245
Unnamed Property,Santacruz East Mumbai South West Mumbai,Santacruz Mumbai,10+ Year,Ready To Move,Carpet Area,460,32608,8,1,2,150
Unnamed Property,Sion Koliwada Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,350,19911,21,1,1,69.7
Unnamed Property,Thakur Village Mumbai,Thakur Village,10+ Year,Ready To Move,Super Built Up Area,785,18471,2,2,2,145
Shree Niketan ,Shankar Pada Mumbai,Shankar Pada,5 to 10 Year,Ready To Move,Carpet Area,644,22049,6,2,2,142
Unnamed Property,Thane West Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,692,19508,4,3,2,135
Unnamed Property,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,10+ Year,Ready To Move,Built Up Area,1300,5538,1,3,3,72
Unnamed Property,111 Sector 10 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1110,7207,12,2,2,80
Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,670,6417,1,1,1,43
Balaji Symphony ,G Wing New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055,9668,17,2,2,102
Unnamed Property,Plot No 87 Sector 21 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,675,9259,3,1,1,62.5
Trishul Terraces ,1802 Sector 20 Koparkhairane Navi Mumbai Mumbai,Koparkhairane Navi-Mumbai,10+ Year,Ready To Move,Carpet Area,1000,35000,18,3,3,350
Lalani Grandeur ,1801 Goregaon East Mumbai,Goregaon Mumbai,5 to 10 Year,Ready To Move,Carpet Area,410,30243,18,1,2,124
Unnamed Property,GuruTeg Bahadur Nagar Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,600,20833,6,2,2,125
Unnamed Property,Sector 19 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,750,7066,1,1,2,53
Unnamed Property,Sector 30 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Built Up Area,1000,6800,3,2,2,68
Balaji Mayuresh Delta ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1350,10370,8,2,2,140
Bhagwati Greens ,1501 Sector 23 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,2150,16279,15,3,3,350
Unnamed Property,Kashigaon Mira Road And Beyond Mumbai,Mira Road,10+ Year,Ready To Move,Built Up Area,580,12857,5,1,2,54
Hiranandani Eagleridge ,6001 Hiranandani Estate Thane Mumbai,Hiranandani Thane,1 to 5 Year,Ready To Move,Carpet Area,950,22631,6,3,3,215
Sudama Regency ,Khardipada Thane Mumbai,Khardipada Thane,1 to 5 Year,Ready To Move,Carpet Area,420,7380,5,1,1,31
Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050,7619,28,2,2,80
Unnamed Property,Airoli Navi Mumbai Mumbai,Airoli Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1070,10280,7,2,2,110
Westin Eksar Gurukripa CHSL ,Borivali West Mumbai,Borivali Mumbai,0 to 1 Year,Ready To Move,Carpet Area,611,32733,12,2,2,200
Anurag Residency ,111 Sector 9 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,950,7368,5,2,2,70
Prabhu Anant ,Roadpali Navi Mumbai Mumbai,Roadpali Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,409,9902,4,1,1,40.5
Pragati Satkar Tower ,302 Katemanivali Mumbai Beyond Thane Mumbai,Katemanivali Mumbai,5 to 10 Year,Ready To Move,Built Up Area,710,5704,3,1,2,40.5
Kohinoor City Mumbai ,Phase 1 kurla west Central Mumbai suburbs Mumbai,Central Mumbai,10+ Year,Ready To Move,Built Up Area,1341,23117,1,3,3,310
Neelkanth Vishwa ,Vichumbe Navi Mumbai Mumbai,Vichumbe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,879,6598,1,2,2,58
Unnamed Property,Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1100,5409,7,2,2,59.5
Shah Alpine ,Sector 6 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,675,9777,11,1,1,66
Unnamed Property,Ground Floor Dahisar East Mumbai,Dahisar Mumbai,10+ Year,Ready To Move,Carpet Area,450,17333,0,1,1,78
Unnamed Property,Rabale Navi Mumbai Mumbai,Rabale Navi-Mumbai,5 to 10 Year,Ready To Move,Carpet Area,480,25000,3,2,2,120
5P Bhagwati Heritage ,Sector 21 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1225,9469,3,2,2,116
Jai Gurudeo Complex ,Sector 17 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Built Up Area,1150,9217,5,2,2,106
Unnamed Property,Sector 58 Seawoods Navi Mumbai Mumbai,Seawoods Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1110,22072,6,2,3,245
Hiranandani Castle Rock ,Hiranandani Gardens Powai Central Mumbai suburbs Mumbai,Central Mumbai,0 to 1 Year,Ready To Move,Carpet Area,778,41645,3,2,2,324
Om Shanti ,302 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,635,8818,3,1,1,56
Unnamed Property,Poonam Garden mira Road Unique Aurum Mira Road Mira Road And Beyond Mumbai,Mira Road,0 to 1 Year,Ready To Move,Built Up Area,1090,10642,19,2,2,112
Balaji Symphony ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1055,8530,21,2,2,90
Tata Amantra ,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,5 to 10 Year,Ready To Move,Carpet Area,852.77,8794,23,3,2,75
Varsha Balaji Darshan ,Sector 16 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,8750,3,2,2,105
Unnamed Property,Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,950,17368,10,3,3,165
Hiranandani Fortune City ,Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,400,13500,17,1,1,54
Vaishnavi Highlife ,Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,700,10857,22,2,2,76
Unnamed Property,M G Complex Sector 14 Vashi Navi Mumbai Mumbai,Vashi Navi-Mumbai,10+ Year,Ready To Move,Super Built Up Area,1450,21449,11,3,3,311
Ashar Edge ,Pokhran 2 Thane Mumbai,Thane,0 to 1 Year,Ready To Move,Carpet Area,727,22696,27,2,2,165
Unnamed Property,Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,798,7957,8,3,2,63.5
Unnamed Property,Near Kaka Dhaba Kalyan East Mumbai Beyond Thane Mumbai,Kalyan Thane,1 to 5 Year,Ready To Move,Built Up Area,500,4000,3,1,1,22
Aaron Moreshwar complex ,Plot Sector 18 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,690,7681,6,1,1,53
Space India Alliance ,Walking From Station Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,680,8823,13,1,2,60
Space India Alliance ,New Project Sector 17 Khanda Colony Navi Mumbai Mumbai,Khanda Colony Navi-Mumbai,0 to 1 Year,Ready To Move,Built Up Area,1050,8380,13,2,2,88
Sun Bhoomi Heights ,Near Kk Cinema Sector 31 Kamothe Navi Mumbai Mumbai,Kamothe Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1650,7575,5,3,3,125
Unnamed Property,Shahpur Mumbai Beyond Thane Mumbai,Shahapur Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1100,2727,2,2,2,30
Unnamed Property,Santacruz West Mumbai South West Mumbai,Santacruz Mumbai,1 to 5 Year,Ready To Move,Carpet Area,1400,65000,7,3,3,910
Nidhi Pramila Avenue ,Titwala Mumbai Beyond Thane Mumbai,Titwala Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,650,5930,7,1,1,25.5
Mahavir Kalpavruksha ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,430,13720,15,1,2,59
Unique Poonam Estate Cluster 2 ,180 Mira Road Mira Road And Beyond Mumbai,Mira Road,1 to 5 Year,Ready To Move,Super Built Up Area,1040,11057,18,2,2,115
Lok Sarita ,Marol Mumbai,Marol Mumbai,10+ Year,Ready To Move,Built Up Area,520,20769,5,1,1,108
Aryan One ,A Wing Flat No 308 Badlapur Mumbai Beyond Thane Mumbai,Badlapur Mumbai,1 to 5 Year,Ready To Move,Built Up Area,758,4485,3,1,1,34
Snow Drop ,IC Colony Mumbai,Borivali Mumbai,1 to 5 Year,Ready To Move,Carpet Area,420,27380,4,1,2,115
Om Aditya Paraiso ,Shilphata Navi Mumbai Mumbai,Shilphata Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,670,6716,15,1,2,45
Unnamed Property,D 002 Badlapur West Mumbai Beyond Thane Mumbai,Badlapur Mumbai,5 to 10 Year,Ready To Move,Built Up Area,578,3979,0,1,2,23
Vijay Galaxy ,1306 Vijay Nagari Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Carpet Area,650,17692,13,2,2,115
Lodha New Cuffe Parade ,3601 Wadala Mumbai Harbour Mumbai,Mumbai Harbour,1 to 5 Year,Ready To Move,Super Built Up Area,1395,20071,36,2,2,280
Unnamed Property,Ghodbunder Road Thane Mumbai,Thane,5 to 10 Year,Ready To Move,Built Up Area,1450,12275,9,3,3,175
Puraniks Tokyo Bay ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Super Built Up Area,700,7857,3,1,2,55
Raunak Delight ,Owale Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,575,8347,8,1,1,48
Raunak Unnathi Greens ,Ghodbunder Road Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Super Built Up Area,660,7121,13,1,2,47
Puraniks Hometown ,Kasar vadavali Thane Mumbai,Kasar Vadavali Thane,0 to 1 Year,Ready To Move,Carpet Area,438,13470,10,1,2,59
Reliable Balaji Shrishti ,Sector 20 Roadpali Navi Mumbai Kalamboli Navi Mumbai Mumbai,Kalamboli Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1090,7889,6,2,2,86
Unnamed Property,Kalyan West Mumbai Beyond Thane Mumbai,Kalyan Thane,0 to 1 Year,Ready To Move,Carpet Area,405,7654,1,1,1,31
Budget Homes The Nest ,Mulund West Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,270,22222,11,1,1,60
The Pearl ,New Panvel Navi Mumbai Mumbai,Panvel Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,935,6844,4,2,2,64
Unnamed Property,Lokpuram Thane Mumbai,Thane,10+ Year,Ready To Move,Built Up Area,565,11681,3,1,1,66
Satyam Heritage ,201 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,5 to 10 Year,Ready To Move,Super Built Up Area,1100,15454,2,2,2,170
Sai Vihar CHS ,1003 Sector 10 Kharghar Navi Mumbai Mumbai,Kharghar Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1164,9450,10,2,2,110
Rupa Suyash Park ,Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,1200,7500,6,2,2,90
Silverlite 56 West ,Vile Parle West Mumbai South West Mumbai,Vile Parle Mumbai,0 to 1 Year,Ready To Move,Super Built Up Area,684,40204,1,2,3,275
Unnamed Property,Pokhran 2 Thane Mumbai,Thane,1 to 5 Year,Ready To Move,Carpet Area,798,25689,26,2,2,205
Balaji Delta Tower 2 ,Sector 8 Ulwe Navi Mumbai Mumbai,Ulwe Navi-Mumbai,1 to 5 Year,Ready To Move,Super Built Up Area,1345,9442,6,2,2,127
Unnamed Property,Flat No A 1702 A Wing S V P Nagar Plot No 24 Mhada Versova Mumbai,Versova Mumbai,5 to 10 Year,Ready To Move,Carpet Area,1010,21287,17,3,3,215
M K Fatima Heights ,Bhendi Bazaar South Mumbai Mumbai,South Mumbai,0 to 1 Year,Ready To Move,Carpet Area,460,28260,11,1,2,130
Unnamed Property,Mulund East Central Mumbai suburbs Mumbai,Central Mumbai,1 to 5 Year,Ready To Move,Carpet Area,480,22916,16,1,1,110
Unnamed Property,Sector 21 Nerul Navi Mumbai Mumbai,Nerul Navi-Mumbai,0 to 1 Year,Ready To Move,Carpet Area,540,12800,3,1,2,80
Lodha Palava City ,0000 Dombivli East Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Carpet Area,764,8507,1,2,2,65
Unnamed Property,Lokhandwala Andheri West Mumbai,Andheri Mumbai,0 to 1 Year,Ready To Move,Carpet Area,900,31111,15,2,2,280
Unnamed Property,Gopinath Chowk Mahatma Phule Road Dombivli West Thane Mumbai,Dombivli Thane,1 to 5 Year,Ready To Move,Built Up Area,1035,8212,6,2,2,85
Vihan Sunshine Heights ,Sector 15 Ghansoli Navi Mumbai Mumbai,Ghansoli Navi-Mumbai,1 to 5 Year,Ready To Move,Carpet Area,569,13181,10,1,2,75
BM Bunch Berry ,105 Sai Nagar Mumbai,Sai Nagar,10+ Year,Ready To Move,Built Up Area,350,23571,1,1,1,82.5
